"Compound Name","Formula","Mass","RT","CAS ID",PosIon_Liver_SampleA_7Wk_Mutant1,PosIon_Liver_SampleB_7Wk_Mutant2,PosIon_Liver_SampleC_7Wk_Mutant3,PosIon_Liver_SampleD_7Wk_WildType1,PosIon_Liver_SampleE_7Wk_WildType2,PosIon_Liver_SampleF_7Wk_WildType3
SM d42:1,C47 H95 N2 O6 P,814.6936,11.54,,1597290.51809835,661137.675424431,586871.526985288,101087.382051272,123373.430992362,106494.296374253
PC 36:5,C44 H78 N O8 P,779.5473,5.17,,520815.509905938,108768.086556618,79168.3587337432,634380.205199016,628145.623544849,1238653.52350738
TG 18:1_18:2_22:4,C61 H104 O6,932.7831,13.13,,1432491.95192851,483370.940326446,914424.47767528,1572431.71190334,1684057.31569396,2581049.32497461
TG 56:5,C59 H104 O6,908.7839,13.43,,1865031.4983347,467014.509287659,1826006.21929471,2654958.12683849,1438158.60763742,2804812.3625175
TG 50:1,C53 H100 O6,832.7536,13.67,,5884452.09191615,4200252.16679753,7143431.13025615,10076627.3597912,8685934.04280921,9238559.89373082
PC 32:2,C40 H76 N O8 P,729.5319,5.36,,413515.853159259,357749.417893582,260901.264135583,709881.948555458,812224.370317966,948223.329351314
TG 51:3,C54 H98 O6,842.7371,13.14,,878906.536190872,404446.836989875,709837.655467235,763230.159727291,1440737.03895797,1583795.6524798
SM d34:2,C39 H77 N2 O6 P,700.5529,5.13,,1260559.75249328,656959.323780444,493292.565755731,129896.571579484,89527.9108435868,182573.712659604
PC 42:10,C50 H80 N O8 P,853.5634,5.30,,570293.978878118,493925.0348221,236941.060828624,499210.668022226,386117.941579664,804660.031751663
TG 12:0_12:0_14:0,C41 H78 O6,666.5839,12.10,,614547.602101815,439664.401953488,467991.427332449,609629.791152862,653626.055482351,705895.287808541
PE 38:5,C43 H76 N O8 P,765.5315,7.06,,,,1018873.87095364,,,
TG 16:0_17:1_18:1,C54 H100 O6,844.7524,13.47,,586709.688959731,409464.16490086,1059245.20240554,1748383.55506641,1213745.94361179,1811293.83183108
PC 15:0_18:1(d7),C41 H73 D7 N O8 P,752.6068,6.83,,1238563.22102902,964762.809563283,,853610.165234376,,1242492.50711026
PC 36:3,C44 H82 N O8 P,783.5784,7.15,,,,627729.716116411,,,
SM d40:0,C45 H93 N2 O6 P,788.6785,11.53,,999365.921815442,464059.627079732,417789.073414826,99461.9568780304,69832.0219820313,154366.959603422
TG 53:3,C56 H102 O6,870.7670,13.50,,744899.428807499,276872.50564819,625600.684321406,1317410.99001761,1608414.28890866,
SM d42:2,C47 H93 N2 O6 P,812.6787,11.42,,700997.21934708,463923.722615203,319370.002225463,304321.290609298,184329.835898105,468183.925544678
PC 18:1_18:2,C44 H82 N O8 P,783.5791,6.55,,39834250.6769892,17309677.6216185,13277992.5091873,50566498.0566941,58512043.5005276,57833137.8261606
SM d37:1,C42 H85 N2 O6 P,744.6151,8.00,,1242513.95716508,326479.705660944,331126.635282528,214061.110189947,214953.14217053,280638.022675429
SM d42:1,C47 H95 N2 O6 P,814.6945,11.75,,25527358.6184002,13062063.7841743,10147195.1689526,5037411.46807005,2787248.46652935,7241920.80941924
TG 15:0_16:0_16:0,C50 H96 O6,792.7214,13.48,,944476.808842609,913945.058471834,805638.119288193,898393.319654379,927136.361957161,896339.87226076
TG 16:1_18:2_22:6,C59 H96 O6,900.7218,12.53,,908967.078950565,,358568.890512495,1053400.64064376,1516250.25580838,422244.290900989
TG 16:0_16:0_20:4,C55 H98 O6,854.7371,13.18,,582784.023316582,214133.533585831,641776.40777021,557059.388172339,12655514.3651547,19278139.3639544
DG 16:0_18:2,C37 H68 O5,592.5076,9.62,,1765637.45846592,917655.767355327,737330.497523336,2759864.45051007,1664822.50408668,1896230.45980468
PC 16:0_17:0,C41 H82 N O8 P,747.5741,7.99,,2377170.00699271,963009.858072892,1154259.28906905,2090928.58457748,2024734.19111686,3345913.73427721
PC 35:2,C43 H82 N O8 P,771.5787,6.84,,,,,864969.319589432,591751.814073242,993685.054793294
Cer_NS d18:1_23:0,C41 H81 N O3,635.6247,11.93,,428558.663254692,261916.578073411,310211.411142452,442271.688438089,431199.113186435,475706.687517916
LPE 18:0,C23 H48 N O7 P,481.3182,2.84,,483438.031224333,226673.448694953,211863.584271404,201671.862465167,171094.388544871,337432.152106139
TG 58:10,C61 H98 O6,926.7364,12.56,,1323612.37861447,170451.125341904,467518.329176865,966555.5048696,1373254.03858583,2170974.41368978
EtherPC 32:1e,C40 H80 N O7 P,717.5682,7.99,,1120473.92419773,382493.696042029,383915.712293853,302605.153217731,246379.213686643,351285.203164839
TG 54:7,C57 H96 O6,876.7209,12.69,,976425.221552369,294185.784475107,965184.531420857,709449.616516983,1041957.59661432,1940999.82600968
TG 15:0_16:0_18:1,C52 H98 O6,818.7367,13.48,,1415731.52270895,1009545.39233838,1073320.03138679,1614504.27722832,1382229.30894135,1401745.42317828
EtherPC 34:2e,C42 H82 N O7 P,743.5830,7.29,,3870862.16140806,1356155.69939269,941142.756183524,693800.816662955,401381.26953678,674319.740780253
TG 56:5,C59 H104 O6,908.7837,13.54,,1414076.23237025,167782.76307784,765298.144716135,1016609.27255665,1133244.80686695,1590227.88208496
PC 36:0,C44 H88 N O8 P,789.6268,11.25,,327780.482117218,277055.157709609,243033.372502133,207165.493574162,142493.74755933,246460.697477291
DG 18:1_18:1,C39 H72 O5,620.5408,11.38,,1219199.53142385,877897.150757682,755106.550768528,972919.218243277,1240626.74305009,788259.686660969
TG 18:1_18:1_22:4,C61 H106 O6,934.7985,13.43,,1157237.83579661,198557.431947091,711486.988772541,1288805.0332756,874512.552121712,1790550.09455028
PC 17:1_18:2,C43 H80 N O8 P,769.5630,5.98,,504692.190948479,255138.495439624,,692141.949120191,599679.17700664,367008.206023413
TG 54:7,C57 H96 O6,876.7206,12.56,,762150.664346617,180676.733910571,445513.108289997,959005.46109872,1403473.6744884,2111427.00580683
TG 16:0_16:0_18:0,C53 H102 O6,834.7681,14.16,,744650.478830139,735035.517515803,743756.876316897,803743.348458359,814280.985005465,841325.353429455
TG 56:8,C59 H98 O6,902.7364,12.67,,1570946.90906887,985784.043214959,791341.784624665,1478880.25421822,1895298.9039167,2958422.98088271
BMP 18:1_18:1,C42 H79 O10 P,774.5404,5.53,,1542655.57513809,577404.727456948,532325.967657913,,166736.444540121,255864.50528954
PC 20:1_22:6,C50 H86 N O8 P,859.6095,7.44,,464953.964418008,209435.968163331,296527.414514382,586093.837825146,444156.176146019,866977.068521321
SM d36:0,C41 H85 N2 O6 P,732.6156,7.82,,1649952.4306471,664438.647149048,535167.413843262,58262.1081328585,103134.110136489,88200.2379157165
PC 34:4,C42 H76 N O8 P,753.5315,5.25,,244121.41874776,117991.226344834,134928.756510694,211638.653445735,342460.875005541,410002.119277786
LPC 0:0_22:6,C30 H50 N O7 P,567.3329,1.33,,420220.553646759,156029.783275244,193193.124254553,159242.237574331,202629.718197995,448162.342160851
TG 16:1_18:2_18:3,C55 H94 O6,850.7044,12.53,,193763.607669619,29206.2372197262,244358.023085596,455551.352133527,852166.797312627,969272.044513842
DG 18:0_20:4,C41 H72 O5,644.5398,11.37,,435892.129221996,218114.589022305,237244.214077501,663796.32403791,750746.28241973,518426.432836888
